dataset,method,auroc_mean,auroc_std,n_seeds,auprc_mean,auprc_std,p_at_k_mean,p_at_k_std,n_samples,n_context,n_behavior,anomaly_rate,model_order
adult_shift,IF,0.9921507777777777,0.0008511374415712437,9,0.8619686666666666,0.011842797684668935,0.9977777777777779,0.004409585518440976,30162,5,4,0.05,0
adult_shift,IF_concat,0.9543318888888889,0.008161954429614938,9,0.5083888888888889,0.05714710116104851,0.8188888888888889,0.07184087354084102,30162,5,4,0.05,1
adult_shift,DIF,0.9860184444444445,0.0006856672135794566,9,0.6725196666666666,0.00735713622953934,0.17333333333333334,0.09924716620639602,30162,5,4,0.05,2
adult_shift,DIF_concat,0.9671417777777778,0.0025280938856071865,9,0.5426591111111111,0.019506015427583134,0.19666666666666666,0.05220153254455275,30162,5,4,0.05,3
adult_shift,LOF,0.7027345555555555,0.01030313502181628,9,0.13885311111111112,0.007533458642025668,0.3333333333333333,0.03872983346207417,30162,5,4,0.05,4
adult_shift,QCAD,0.9936642222222223,0.0006942576571017709,9,0.9395910000000001,0.005883392834920998,0.9988888888888889,0.003333333333333337,30162,5,4,0.05,5
adult_shift,ROCOD,0.9414792222222224,0.001229132395002457,9,0.350137,0.0060485884717014805,0.12444444444444445,0.02697735676039774,30162,5,4,0.05,6
adult_shift,PNKIF,0.9967035,0.0007661405803695099,10,0.9516741,0.013238019577044858,1.0,0.0,30162,5,4,0.05,7
adult_shift,PNKDIF,0.987587,0.0005061415315897367,9,0.6767505555555555,0.014327831902551649,0.40111111111111114,0.07304869000270374,30162,5,4,0.05,8
bank_shift,IF,0.9990817777777777,0.0002029401252696211,9,0.9873844444444444,0.002695570770315208,1.0,0.0,30488,7,9,0.05,0
bank_shift,IF_concat,0.9942798888888889,0.0008559850238825305,9,0.9200204444444444,0.011596116193699421,1.0,0.0,30488,7,9,0.05,1
bank_shift,DIF,0.9963456666666666,0.0004496001000889728,9,0.8976005555555555,0.020734346403438374,0.8966666666666667,0.04663689526544408,30488,7,9,0.05,2
bank_shift,DIF_concat,0.9944282222222223,0.0009860278619006724,9,0.8536547777777778,0.03011488381505805,0.8444444444444444,0.06207074816512027,30488,7,9,0.05,3
bank_shift,LOF,0.8875096666666666,0.0077426143194660214,9,0.5927106666666666,0.013198440182460962,0.9700000000000001,0.0,30488,7,9,0.05,4
bank_shift,QCAD,0.9986666666666666,0.00026699016835832467,9,0.9901026666666666,0.0015093202112209463,1.0,0.0,30488,7,9,0.05,5
bank_shift,ROCOD,0.9355926666666667,0.0006328159290030346,9,0.3165367777777777,0.006251189502362281,0.41111111111111115,0.08432740427115677,30488,7,9,0.05,6
bank_shift,PNKIF,0.9989741000000001,0.0003541771214143147,10,0.9814388000000001,0.006265618188885172,0.994,0.005163977794943265,30488,7,9,0.05,7
bank_shift,PNKDIF,0.9956523333333333,0.0006032522275134521,9,0.8694881111111111,0.020159800386192077,0.8322222222222222,0.052625511346156444,30488,7,9,0.05,8
cardio,IF,0.9456858,0.00900842707690971,10,0.6364549,0.042962766573575735,0.6900000000000001,0.04966554808583778,1831,5,16,0.0961,0
cardio,IF_concat,0.9269672,0.011111570564056181,10,0.5711166,0.03064487428302197,0.5980000000000001,0.04289522117905445,1831,5,16,0.0961,1
cardio,DIF,0.9440706000000001,0.005111087842459144,10,0.5925998,0.028243033563065515,0.6,0.03527668414752787,1831,5,16,0.0961,2
cardio,DIF_concat,0.9313100999999999,0.005453986746714097,10,0.5222425,0.019364791121173168,0.515,0.04648775226993781,1831,5,16,0.0961,3
cardio,LOF,0.547092,0.0,10,0.15524,0.0,0.22000000000000003,0.0,1831,5,16,0.0961,4
cardio,QCAD,0.709426,0.0,10,0.191609,0.0,0.27,0.0,1831,5,16,0.0961,5
cardio,ROCOD,0.768113,0.0,10,0.45451800000000003,0.0,0.71,0.0,1831,5,16,0.0961,6
cardio,PNKIF,0.7786816,0.01323511211554746,10,0.3217104,0.02819254090555002,0.446,0.04060651288757618,1831,5,16,0.0961,7
cardio,PNKDIF,0.7446942,0.016641449748544524,10,0.2403072,0.01719667436712369,0.375,0.023687784005919824,1831,5,16,0.0961,8
creditcard,IF,0.9480266,0.0026313469807939423,10,0.1803184,0.0422130937774841,0.388,0.13966626889362607,284807,2,28,0.0017,0
creditcard,IF_concat,0.9488920999999999,0.0022346473472713018,10,0.1542688,0.03284601715006284,0.29900000000000004,0.09527154174603593,284807,2,28,0.0017,1
creditcard,DIF,0.9515559,0.0021772269544333557,10,0.1438046,0.03169368834536828,0.23600000000000004,0.11992590304943392,284807,2,28,0.0017,2
creditcard,DIF_concat,0.9521471,0.0016634635520169872,10,0.15569329999999998,0.04053847204282207,0.29100000000000004,0.18829350611331352,284807,2,28,0.0017,3
creditcard,LOF,0.512699,0.0,10,0.002148,0.0,0.0,0.0,284807,2,28,0.0017,4
creditcard,QCAD,0.932071,0.0,10,0.140179,0.0,0.24,0.0,284807,2,28,0.0017,5
creditcard,ROCOD,0.906855,0.0,10,0.015754,0.0,0.0,0.0,284807,2,28,0.0017,6
creditcard,PNKIF,0.9397966,0.002443950317734712,10,0.1234568,0.03586198042743565,0.268,0.11113555286725806,284807,2,28,0.0017,7
creditcard,PNKDIF,0.9387669000000001,0.0033196837014658246,10,0.0604601,0.015597724944149174,0.079,0.05195083145522205,284807,2,28,0.0017,8
ieee_cis,IF,0.563095,0.007453294722619133,10,0.0420697,0.0016580662129923112,0.23399999999999999,0.032041639575194444,50000,11,31,0.0271,0
ieee_cis,IF_concat,0.5999067,0.0044971152000168125,10,0.04923570000000001,0.001750795568369485,0.20299999999999999,0.03301514803843836,50000,11,31,0.0271,1
ieee_cis,DIF,0.4978746,0.003817476717530696,10,0.0326443,0.0005217636863987804,0.14100000000000001,0.023781411975649296,50000,11,31,0.0271,2
ieee_cis,DIF_concat,0.5686478,0.007329469767088622,10,0.0388651,0.0012369758328726998,0.135,0.029154759474226504,50000,11,31,0.0271,3
ieee_cis,LOF,0.483853,0.0,10,0.030873,0.0,0.08,0.0,50000,11,31,0.0271,4
ieee_cis,QCAD,0.430595,0.0,10,0.022282,0.0,0.0,0.0,50000,11,31,0.0271,5
ieee_cis,ROCOD,0.562693,0.0,10,0.032448,0.0,0.0,0.0,50000,11,31,0.0271,6
ieee_cis,PNKIF,0.5795725,0.0034579867376520945,10,0.038693899999999996,0.0009563942062652701,0.057999999999999996,0.025733678754158378,50000,11,31,0.0271,7
ieee_cis,PNKDIF,0.519601,0.0027092363827797973,10,0.028989900000000002,0.00028879575635540263,0.002,0.0042163702135578395,50000,11,31,0.0271,8
paysim,IF,0.5308339999999999,0.01832802606817098,10,0.006902,0.0028767443790198356,0.027000000000000003,0.00948683298050514,50000,3,7,0.002,0
paysim,IF_concat,0.7009438,0.01424716568148047,10,0.0078227,0.001608994996884701,0.031,0.00737864787372622,50000,3,7,0.002,1
paysim,DIF,0.6008625999999999,0.004629802544385667,10,0.0633518,0.010051325780988076,0.082,0.006324555320336759,50000,3,7,0.002,2
paysim,DIF_concat,0.7442046999999999,0.007971981965330556,10,0.0491331,0.01661223422293876,0.08,0.0,50000,3,7,0.002,3
paysim,LOF,0.615814,0.0,10,0.031539,0.0,0.04,0.0,50000,3,7,0.002,4
paysim,QCAD,0.605873,0.0,10,0.002821,0.0,0.0,0.0,50000,3,7,0.002,5
paysim,ROCOD,0.8146000000000001,0.0,10,0.082096,0.0,0.11000000000000001,0.0,50000,3,7,0.002,6
paysim,PNKIF,0.6924659,0.017876223236777674,10,0.0179738,0.005334133623289832,0.047,0.0067494855771055295,50000,3,7,0.002,7
paysim,PNKDIF,0.6681957000000001,0.01209224796718954,10,0.011995500000000001,0.0027521321532384467,0.053000000000000005,0.00674948557710553,50000,3,7,0.002,8
saml,IF,0.9614546,0.0012208620087644938,10,0.2501005,0.02339212267338445,0.692,0.0513809303146605,292715,38,11,0.0169,0
saml,IF_concat,0.9385157,0.0030899930977988546,10,0.11748289999999999,0.0033911704452723817,0.0,0.0,292715,38,11,0.0169,1
saml,DIF,0.9421259000000001,0.0020892609246121454,10,0.2002312,0.007495286975456275,0.717,0.028693785622209755,292715,38,11,0.0169,2
saml,DIF_concat,0.9065563000000001,0.003260087935078508,10,0.10079260000000001,0.004187293429730794,0.119,0.036347092196090613,292715,38,11,0.0169,3
saml,LOF,0.582409,0.0,10,0.0219,0.0,0.1,0.0,292715,38,11,0.0169,4
saml,QCAD,0.255881,0.0,10,0.010761,0.0,0.02,0.0,292715,38,11,0.0169,5
saml,ROCOD,0.806644,0.0,10,0.11129799999999998,0.0,0.68,0.0,292715,38,11,0.0169,6
saml,PNKIF,0.9151362000000001,0.0033716152344075035,10,0.1186791,0.005133483319237422,0.037,0.018287822299126937,292715,38,11,0.0169,7
saml,PNKDIF,0.8929169,0.0034561556822573654,10,0.0995538,0.003443530772009707,0.027000000000000003,0.02213594362117866,292715,38,11,0.0169,8
saml_injected,IF,0.9007970000000001,0.00895632856327486,10,0.2004648,0.011867558840993575,0.6950000000000001,0.09913514905308701,292715,38,11,0.0369,0
saml_injected,IF_concat,0.8413520999999999,0.018911729196747478,10,0.1437338,0.006617763650458766,0.001,0.0031622776601683794,292715,38,11,0.0369,1
saml_injected,DIF,0.7504941,0.008897495908025648,10,0.1301941,0.0032223486413897975,0.736,0.015055453054181617,292715,38,11,0.0369,2
saml_injected,DIF_concat,0.7665232,0.004408273378294242,10,0.1279476,0.004825119139576882,0.195,0.043779751788545665,292715,38,11,0.0369,3
saml_injected,LOF,0.6382667,0.00205470279278209,10,0.0707954,0.0006715572615611868,0.15,0.02403700850309326,292715,38,11,0.0369,4
saml_injected,QCAD,0.49286430000000003,0.0015770413261688681,10,0.0360807,0.00018037371698165233,0.015,0.010801234497346435,292715,38,11,0.0369,5
saml_injected,ROCOD,0.9020306,0.0004889853894659007,10,0.4385744,0.001784353552410502,0.666,0.04115013163202925,292715,38,11,0.0369,6
saml_injected,PNKIF,0.9479419,0.004555344393615538,10,0.44245039999999997,0.01334405942899102,0.038,0.01932183566158592,292715,38,11,0.0369,7
saml_injected,PNKDIF,0.9396872000000001,0.001978339359721222,10,0.4117242,0.01221397224311384,0.03,0.027888667551135855,292715,38,11,0.0369,8
syn_cluster,IF,0.5037906,0.013751095360006783,10,0.051572099999999996,0.0019215821866368332,0.046,0.02270584848790187,10000,2,3,0.05,0
syn_cluster,IF_concat,0.81617,0.03457914481944925,10,0.32253030000000005,0.09122429432758943,0.622,0.18778237995675265,10000,2,3,0.05,1
syn_cluster,DIF,0.5056251,0.013627954721005588,10,0.0518412,0.0021499238126036005,0.048,0.01398411797560202,10000,2,3,0.05,2
syn_cluster,DIF_concat,0.8564613,0.044102502030434115,10,0.4872168,0.12343047876508369,0.829,0.1420836999017754,10000,2,3,0.05,3
syn_cluster,LOF,0.6619892,0.07570272398122664,10,0.16399539999999999,0.05107608071016326,0.383,0.11441153787970862,10000,2,3,0.05,4
syn_cluster,QCAD,0.8866759,0.028423014190186696,10,0.5180999,0.08714826002527724,0.908,0.12380989010934823,10000,2,3,0.05,5
syn_cluster,ROCOD,0.9472655,0.0308367141542891,10,0.7580705,0.14697466005422688,0.923,0.1264954983827927,10000,2,3,0.05,6
syn_cluster,PNKIF,0.9520964,0.02822954061971256,10,0.7743088,0.13272354936383118,0.942,0.12127104628338399,10000,2,3,0.05,7
syn_cluster,PNKDIF,0.9529747000000001,0.02786513017315132,10,0.7941495,0.12258649208642672,0.954,0.09570788891204322,10000,2,3,0.05,8
syn_highdim_context,IF,0.8406352,0.012383738717456128,10,0.2526857,0.01655644641186294,0.398,0.04341018825626589,10000,20,3,0.05,0
syn_highdim_context,IF_concat,0.5925184,0.014973435078312693,10,0.07042960000000001,0.0037848819209528287,0.096,0.03134042472944842,10000,20,3,0.05,1
syn_highdim_context,DIF,0.8631584999999999,0.009489787742035606,10,0.2861618,0.012455320191254279,0.35300000000000004,0.044234225060089685,10000,20,3,0.05,2
syn_highdim_context,DIF_concat,0.6783566000000001,0.012000682473185502,10,0.11425940000000001,0.006792513660068873,0.23900000000000002,0.03381321240777535,10000,20,3,0.05,3
syn_highdim_context,LOF,0.7643955,0.012256244986400471,10,0.18781140000000002,0.015456546007724004,0.385,0.038658045015810674,10000,20,3,0.05,4
syn_highdim_context,QCAD,0.7990378,0.007194167171319334,10,0.201072,0.01455333314246449,0.45899999999999996,0.054863466897380836,10000,20,3,0.05,5
syn_highdim_context,ROCOD,0.8654446,0.008247476680779419,10,0.2856714,0.018653247874476614,0.48900000000000005,0.05445691467165171,10000,20,3,0.05,6
syn_highdim_context,PNKIF,0.9164517,0.00880687799456261,10,0.4166959,0.018828654388989143,0.51,0.05944184833375666,10000,20,3,0.05,7
syn_highdim_context,PNKDIF,0.9247432,0.0059970627588289685,10,0.4389967,0.016750880939023258,0.491,0.05216427044549852,10000,20,3,0.05,8
thyroid,IF,0.9546816,0.004376715084779152,10,0.2510942,0.02402715637125811,0.341,0.035103022978402044,3772,3,3,0.0247,0
thyroid,IF_concat,0.976976,0.0036567336973497705,10,0.5355373,0.0590430700158791,0.548,0.038528488738133006,3772,3,3,0.0247,1
thyroid,DIF,0.9543901,0.003171247334339583,10,0.24080780000000002,0.018320581454867774,0.307,0.032335051500740716,3772,3,3,0.0247,2
thyroid,DIF_concat,0.9572715,0.005168863323358007,10,0.3706332,0.043492688784821446,0.365,0.047434164902525694,3772,3,3,0.0247,3
thyroid,LOF,0.673421,0.0,10,0.075191,0.0,0.07,0.0,3772,3,3,0.0247,4
thyroid,QCAD,0.633684,0.0,10,0.041123,0.0,0.06,0.0,3772,3,3,0.0247,5
thyroid,ROCOD,0.572386,0.0,10,0.027804000000000002,0.0,0.0,0.0,3772,3,3,0.0247,6
thyroid,PNKIF,0.6649411,0.012230357562230152,10,0.0464998,0.0015373569526951124,0.078,0.01398411797560202,3772,3,3,0.0247,7
thyroid,PNKDIF,0.7027886999999999,0.010098004005742933,10,0.051675000000000006,0.00280219544881033,0.062,0.022010098692292236,3772,3,3,0.0247,8
